"Request ID","Description","Pattern","Text Preview","Text Length","Pattern Length","Found","Occurrences Count","Occurrence Indices","Execution Time (ms)","Hash Collisions","Comparisons"
"TEST-001","Short string - Simple pattern match","EFG","ABCDEFGHIJKLMNOP","16","3","true","1","[4]","0,022","0","3"
"TEST-002","Medium string - Multiple occurrences","fox","The quick brown fox jumps over the lazy dog. The f...","73","3","true","2","[16, 49]","0,014","3","9"
"TEST-003","Short string - Repeated pattern with potential hash collisions","AABA","AABAACAADAABAABA","16","4","true","3","[0, 9, 12]","0,010","0","12"
"TEST-004","Medium string - Case sensitive search","world","Hello World! Welcome to the world of string matchi...","64","5","true","1","[28]","0,008","1","6"
"TEST-005","Long string - Latin text with multiple pattern occurrences","dolor","Lorem ipsum dolor sit amet, consectetur adipiscing...","334","5","true","4","[12, 103, 248, 302]","0,026","8","28"
"TEST-006","Medium string - Pattern not found","xyz","abcdefghijklmnopqrstuvwxyz","26","3","true","1","[23]","0,006","0","3"
"TEST-007","Worst case scenario - Many hash matches but no string match","AAAB","AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","40","4","false","0","[]","0,004","0","0"
"TEST-008","Long string - Substring matching within larger words","Java","JavaScript is a programming language. Java is diff...","128","4","true","5","[0, 38, 61, 82, 91]","0,012","0","20"
"TEST-009","Numeric string - Pattern repetition","567890","1234567890123456789012345678901234567890","40","6","true","4","[4, 14, 24, 34]","0,007","0","24"
"TEST-010","Technical description - Single occurrence","algorithm","The implementation of the Rabin-Karp algorithm use...","132","9","true","1","[37]","0,015","0","9"
